STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXP,EMXT,PRCP,TAVG,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/1/1,-7.8,43.7,22.8,148.2,5.5,10.4,0.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/2/1,-10.6,46.7,22.2,142.4,4.4,9.7,-0.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/3/1,-3.9,21.6,27.2,82.9,11.7,17.7,5.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/4/1,2.8,31.5,31.7,36.6,15.6,21.9,9.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/5/1,8.9,22.6,32.8,82.1,20.2,25.8,14.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/6/1,13.9,36.8,32.8,216.3,22.9,27.3,18.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/7/1,18.3,14,35,46.6,26.5,31.5,21.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/8/1,17.8,80.8,35,121.1,26.2,30.9,21.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/9/1,9.4,31.5,30.6,92.2,21.1,25.4,16.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/10/1,4.4,135.6,27.8,283.7,16.9,22.3,11.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/11/1,-2.2,35.6,22.8,128.8,8.1,13.2,3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1995/12/1,-6.1,18.5,21.7,47.5,4,8.9,-0.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/1/1,-7.8,28.4,20,119.9,3.2,8,-1.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/2/1,-16.7,22.9,26.1,57.1,5.8,11.2,0.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/3/1,-8.9,24.6,23.9,97.5,7.7,12.9,2.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/4/1,-0.6,41.4,28.9,103.5,14.8,20.6,9.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/5/1,5.6,18.3,34.4,89.2,20,25.4,14.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/6/1,11.1,26.7,35,95.5,24.4,29.5,19.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/7/1,16.1,39.1,35,148.5,25.6,30.3,20.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/8/1,17.8,26.7,31.1,105.5,23.9,28.2,19.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/9/1,12.8,127.8,31.1,330.1,21.4,26.4,16.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/10/1,5,61.5,28.3,84.9,15.9,21.4,10.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/11/1,-3.3,17,24.4,75.2,8,12.9,3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1996/12/1,-7.8,21.6,22.2,85,7.4,12.8,2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/1/1,-10.6,18.8,22.8,76.3,4.9,10.1,-0.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/2/1,-1.7,31,27.2,75.7,8.3,13.5,3.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/3/1,-1.1,21.3,27.2,85.7,12.8,19,6.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/4/1,-1.1,34.5,27.2,143.2,13.3,18.9,7.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/5/1,7.8,24.6,32.2,60.8,18.3,24.9,11.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/6/1,8.9,43.7,36.1,121,22.1,27.5,16.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/7/1,16.1,79.5,37.8,143,26.5,32,20.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/8/1,13.9,11.9,35.6,23.3,25,30.6,19.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/9/1,8.3,34.8,33.9,53.2,21.8,27,16.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/10/1,2.2,39.9,30.6,107.5,15.9,21.5,10.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/11/1,-2.8,27.9,20.6,87.1,9.2,14.1,4.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1997/12/1,-3.3,13.7,18.3,81.5,6.1,10.6,1.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/1/1,-6.7,42.7,21.7,203.5,7.4,11.7,3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/2/1,-2.8,54.9,22.2,134.5,8,13,3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/3/1,-5,69.9,29.4,188.4,10.3,15.7,5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/4/1,4.4,22.6,28.3,82.3,15.5,21.2,9.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/5/1,11.1,27.2,32.8,93,21,26.4,15.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/6/1,10.6,31,35.6,79.4,24.6,29.9,19.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/7/1,16.7,48.8,35,126.9,25.6,30.9,20.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/8/1,12.8,89.7,33.3,189.8,24.4,29.4,19.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/9/1,9.4,57.9,31.7,75.3,22.8,28,17.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/10/1,1.1,46,28.9,65.3,15.9,21.7,10.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/11/1,-1.7,22.9,22.2,69.3,10.8,16.1,5.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1998/12/1,-4.4,27.7,25,92.4,8,12.6,3.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/1/1,-8.9,49.5,23.9,140.5,6.9,12.8,1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/2/1,-7.2,15.7,21.7,48.1,6.9,13.1,0.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/3/1,-5,35.6,25,108.4,8,14.2,1.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/4/1,3.3,21.6,30,62.5,15.7,22.2,9.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/5/1,6.1,41.9,30,52.3,18.7,24.2,13.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/6/1,12.8,14,34.4,30.6,22.4,27.4,17.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/7/1,13.9,32.8,37.2,78.1,26,30.9,21.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/8/1,15.6,46.7,38.3,122.7,26.2,31.5,20.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/9/1,7.8,153.4,29.4,527.2,20.4,24.9,15.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/10/1,1.7,40.1,25,89,14.5,19.7,9.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/11/1,-1.1,18.5,26.7,44.4,13.4,19.1,7.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,1999/12/1,-5.6,33.5,20.6,62.8,6.7,12,1.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/1/1,-11.1,29.7,22.2,147.5,3.6,8.7,-1.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/2/1,-4.4,15.5,24.4,49.8,7.7,14,1.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/3/1,-1.1,17.8,28.3,49.8,12.6,18.2,6.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/4/1,2.2,19.1,26.7,91.1,13.6,19.3,7.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/5/1,10,18.5,32.8,26.6,21.4,28,14.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/6/1,11.7,11.2,35,56.5,24.6,30.1,19.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/7/1,16.1,52.1,34.4,152.4,24.3,28.9,19.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/8/1,13.9,33,33.9,110.4,24.3,29.2,19.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/9/1,,51.6,30.6,248.3,,25.1,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/10/1,1.7,0,28.9,0,16.1,22.5,9.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/11/1,-5.6,27.2,24.4,60,9.3,14.1,4.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/12/1,-8.9,17,17.2,26,2.1,7.5,-3.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/1/1,-7.8,15.5,22.2,34,4.7,11,-1.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/2/1,-4.4,20.3,23.3,44.1,8.1,13.9,2.2
